channelId,period,chats,memberChats,uniqueChatters,uniqueMembers,nonMemberPercentage
UCXRlIK3Cw_TJIQC5kSJJQMg,2021-03,142850,55409,8390,1920,77.1156138259833
UCXTpFs_3PqI41qX2d9tL2Rw,2021-03,189617,104577,14599,2015,86.19768477292965
UCXU7YYxy_iQd3ulXyO-zC2w,2021-03,250221,108715,7336,1017,86.13685932388222
UCXW4MqCQn-jCaxlX-nn-BYg,2021-03,276694,76646,6704,404,93.97374701670644
UCXp7sNC0F_qkjickvlYkg-Q,2021-03,130845,42089,2728,333,87.79325513196481
UCXtQTtPJedfjqEPysorbsMg,2021-03,78104,29146,5736,483,91.57949790794979
UCXzcu59Cbu-hkpNNXnNiKDg,2021-03,65829,0,2917,0,100.0
UCY1qEwgCUFAS0mBnHixfPUg,2021-03,20,0,1,0,100.0
UCYKP16oMX9KKPbrNgo_Kgag,2021-03,154466,26203,7968,221,97.22640562248996
UCYTz3uIgwVY3ZU-IQJS8r3A,2021-03,121558,40063,1525,228,85.04918032786885
UCYm8zALd2uHqyy6C1tb4_zA,2021-03,99420,35471,1149,210,81.72323759791122
UCYz_5n-uDuChHtLo7My1HnQ,2021-03,563053,155375,44843,1241,97.23256695582366
UCZ1xuCK1kNmn5RzPYIZop3w,2021-03,501266,156585,20719,1919,90.7379699792461
UCZ5dNZsqBjBzbBl0l_IdmXg,2021-03,73473,9264,3797,93,97.55069791941006
UCZYyhgoV314CM14zBD6vd4A,2021-03,289887,60903,11321,441,96.10458440067133
UCZgOv3YDEs-ZnZWDYVwJdmA,2021-03,53149,0,4187,0,100.0
UCZlDXzGoo7d44bwdNObFacg,2021-03,580570,137309,32162,2404,92.5253404639015
UC_-vS9T3_X52HWMhIBsHouw,2021-03,16411,7495,310,68,78.06451612903226
UC_4tXjqecqox5Uc05ncxpxg,2021-03,237309,35873,12943,961,92.57513713976667
UC_82HBGtvwN1hcGeOGHzUBQ,2021-03,60066,0,2928,0,100.0
UC_9nmotxi7FAfiJpo1RKy8A,2021-03,22273,4096,705,80,88.65248226950354
UC_BlXOQe5OcRC7o0GX8kp8A,2021-03,60812,20573,1798,188,89.54393770856507
UC_FqH-6GpFosu_P0ApjqW5A,2021-03,14354,2245,624,40,93.58974358974359
UC_GCs6GARLxEHxy1w40d6VQ,2021-03,10880,3359,1032,141,86.33720930232558
